id_coffret,nom,type,gamme,id_fournisseur,fournisseur,producteur,composition_documentee,cout_produits_ht,cout_emballage_ht,cout_protection_ht,cout_calage_ht,cout_personnalisation_ht,cout_preparation_ht,cout_transport_ht,cout_revient_total_ht,prix_vente_ht,remise,prix_final_ht,marge_eur,taux_marge,poids_total_g,dimensions,source,ligne_source,remarque
COF-0001,Coffret 2 x 20cl INCLUS AVEC LES 20 CL SUR DEMANDE,COFFRET FOURNISSEUR (prêt à vendre),À CONFIRMER,FOUR-0001,NORMAND DIRECT TERROIR,POM’ POM’,Coffret 2 x 20cl INCLUS AVEC LES 20 CL SUR DEMANDE,0.0,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À CONFIRMER,À CONFIRMER,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 316,Nature à confirmer (coffret garni ou emballage seul). Contenu détaillé non précisé dans le document.
COF-0002,Pack 6 bouteilles 33 cl,COFFRET FOURNISSEUR (prêt à vendre),À CONFIRMER,FOUR-0001,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,Pack 6 bouteilles 33 cl,0.85,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À CONFIRMER,À CONFIRMER,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 400,Nature à confirmer (coffret garni ou emballage seul). Contenu détaillé non précisé dans le document.
COF-0003,Pack 6 bouteilles 33 cl + 2 verres,COFFRET FOURNISSEUR (prêt à vendre),À CONFIRMER,FOUR-0001,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,Pack 6 bouteilles 33 cl + 2 verres,1.16,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À CONFIRMER,À CONFIRMER,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 401,Nature à confirmer (coffret garni ou emballage seul). Contenu détaillé non précisé dans le document.
COF-0004,Pack 3 bouteilles 75 cl,COFFRET FOURNISSEUR (prêt à vendre),À CONFIRMER,FOUR-0001,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,Pack 3 bouteilles 75 cl,1.06,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À CONFIRMER,À CONFIRMER,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 402,Nature à confirmer (coffret garni ou emballage seul). Contenu détaillé non précisé dans le document.
COF-0005,Pack 1 bouteilles 75 cl + 2 verres,COFFRET FOURNISSEUR (prêt à vendre),À CONFIRMER,FOUR-0001,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,Pack 1 bouteilles 75 cl + 2 verres,1.12,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À CONFIRMER,À CONFIRMER,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 403,Nature à confirmer (coffret garni ou emballage seul). Contenu détaillé non précisé dans le document.
COF-0006,Demi mètre craft logoté composé de 9 bières 33 cl,COFFRET FOURNISSEUR (prêt à vendre),À CONFIRMER,FOUR-0001,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,Demi mètre craft logoté composé de 9 bières 33 cl,21.35,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À CONFIRMER,À CONFIRMER,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 404,Nature à confirmer (coffret garni ou emballage seul). Contenu détaillé non précisé dans le document.
COF-0007,"Coffret 3 X 20 cl Gin, Vodka et Cold brew,",COFFRET FOURNISSEUR (prêt à vendre),À CONFIRMER,FOUR-0001,NORMAND DIRECT TERROIR,DISTILLERIE C'EST NOUS,"Coffret 3 X 20 cl Gin, Vodka et Cold brew,",33.35,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À CONFIRMER,À CONFIRMER,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 426,Nature à confirmer (coffret garni ou emballage seul). Contenu détaillé non précisé dans le document.
COF-0008,Coffret 480gr,COFFRET FOURNISSEUR (prêt à vendre),À CONFIRMER,FOUR-0001,NORMAND DIRECT TERROIR,CROCAEN'T,Coffret 480gr,28.7,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,480.0,À CONFIRMER,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 511,Nature à confirmer (coffret garni ou emballage seul). Contenu détaillé non précisé dans le document.
COF-0009,COFFRET TRIO BOIS,COFFRET FOURNISSEUR (prêt à vendre),À CONFIRMER,FOUR-0003,SARL DOMAINE DE BILLY,SARL DOMAINE DE BILLY,COFFRET TRIO BOIS,29.0,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À CONFIRMER,À CONFIRMER,billy.pdf – tarif SARL Domaine de Billy « Prix de vente à partir de 2026 » – page 3,page 3 – section COFFRETS,Nature à confirmer (coffret garni ou emballage seul). Contenu détaillé non précisé dans le document.
COF-0010,COFFRET TRIO+VERRE,COFFRET FOURNISSEUR (prêt à vendre),À CONFIRMER,FOUR-0003,SARL DOMAINE DE BILLY,SARL DOMAINE DE BILLY,COFFRET TRIO+VERRE,33.0,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À DÉFINIR,À CONFIRMER,À CONFIRMER,billy.pdf – tarif SARL Domaine de Billy « Prix de vente à partir de 2026 » – page 3,page 3 – section COFFRETS,Nature à confirmer (coffret garni ou emballage seul). Contenu détaillé non précisé dans le document.
