type,cle_de_rapprochement,producteur,ids_produits,libelles,prix_ht,sources,decision
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,amour d herout brut cidre igp,MAISON HEROUT,PROD-0323 / PROD-0324,Amour d'Hérout brut 33 cl cidre IGP || Amour d'Hérout brut 75 cl cidre IGP,1.93 / 3.85,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 332) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 333),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,assortiment fondants,CARAMELS D'ISIGNY,PROD-0550 / PROD-0563 / PROD-0571,ASSORTIMENT FONDANTS || ASSORTIMENT FONDANTS || 5.ASSORTIMENT FONDANTS,29.5 / 16.7 / 4.15,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 68 – LES BOÎTES DISTRIBUTRICES (page 9)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 91 – LES ÉTUIS 108 CARAMELS (page 13)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 101 – LES ÉTUIS 15 CARAMELS (page 14)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,assortiment normandie,CARAMELS D'ISIGNY,PROD-0547 / PROD-0564 / PROD-0568,ASSORTIMENT NORMANDIE || ASSORTIMENT NORMANDIE || 2.ASSORTIMENT NORMANDIE,29.5 / 16.7 / 4.15,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 65 – LES BOÎTES DISTRIBUTRICES (page 9)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 92 – LES ÉTUIS 108 CARAMELS (page 13)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 98 – LES ÉTUIS 15 CARAMELS (page 14)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,assortiment tradition,CARAMELS D'ISIGNY,PROD-0566 / PROD-0567,ASSORTIMENT TRADITION || 1.ASSORTIMENT TRADITION,16.7 / 4.15,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 94 – LES ÉTUIS 108 CARAMELS (page 13)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 97 – LES ÉTUIS 15 CARAMELS (page 14)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,beurre sale,CARAMELS D'ISIGNY,PROD-0548 / PROD-0561 / PROD-0570,BEURRE SALÉ || BEURRE SALÉ || 4.BEURRE SALÉ,29.5 / 16.7 / 4.15,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 66 – LES BOÎTES DISTRIBUTRICES (page 9)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 89 – LES ÉTUIS 108 CARAMELS (page 13)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 100 – LES ÉTUIS 15 CARAMELS (page 14)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,biere ambree ambree du hameau,BRASSERIE LA LIE,PROD-0375 / PROD-0376,Bière ambrée 33 cl / 24 Ambrée du hameau || Bière ambrée 75 cl / 9 Ambrée du hameau,1.96 / 3.64,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 384) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 385),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,biere blanche la caennette,BRASSERIE LA LIE,PROD-0377 / PROD-0378,Bière blanche 33 cl / 24 La Caennette || Bière blanche 75 cl / 9 La Caennette,1.96 / 3.64,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 386) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 387),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,biere blonde au pres de ma blonde,BRASSERIE LA LIE,PROD-0373 / PROD-0374,Bière blonde 33 cl / 24 Au prés de ma blonde || Bière blonde 75 cl / 9 Au prés de ma blonde,1.96 / 3.64,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 382) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 383),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,biere blonde pale ale la suisse normande,BRASSERIE LA LIE,PROD-0385 / PROD-0386,Bière blonde Pale Ale  33 cl / 24 la Suisse Normande || Bière blonde Pale Ale  75 cl / 9 la Suisse Normande,1.96 / 3.64,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 394) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 395),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,biere de noel ca sent le sapin,BRASSERIE LA LIE,PROD-0387 / PROD-0388,Bière de Noel 33 cl / 24 ça sent le sapin || Bière de Noel 75 cl / 9 ça sent le sapin,1.96 / 3.64,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 396) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 397),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,biere edition limite du moment,BRASSERIE LA LIE,PROD-0389 / PROD-0390,Bière édition limité du moment 33 cl / 24 || Bière édition limité du moment 75 cl / 9,1.96 / 3.64,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 398) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 399),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,biere rousse conte fleurette,BRASSERIE LA LIE,PROD-0383 / PROD-0384,Bière rousse Conté fleurette 33 cl / 24 || Bière rousse Conté fleurette 75 cl / 9,1.96 / 3.64,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 392) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 393),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,biere triple triple a la mode de caen,BRASSERIE LA LIE,PROD-0381 / PROD-0382,Bière triple 33 cl / 24 Triple à la mode de Caen || Bière triple 75 cl / 9 Triple à la mode de Caen,2.01 / 3.8,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 390) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 391),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,blanche d alambic bio,MAISON HEROUT,PROD-0340 / PROD-0341,BLANCHE d'alambic bio 70 cl || BLANCHE d'alambic bio 20 cl,23.65 / 8.75,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 349) || Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » (ligne 350),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite beurre doux d isigny aop,CARAMELS D'ISIGNY,PROD-0600 / PROD-0618,28.BOÎTE 2KG BEURRE DOUX D’ISIGNY AOP || 46.BOÎTE 2KG BEURRE DOUX D’ISIGNY AOP,32.2 / 31.6,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 142 – LES CARAMELS EN VRAC (page 17)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 161 – LES CARAMELS EN VRAC (page 17)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite beurre sale d isigny aop,CARAMELS D'ISIGNY,PROD-0572 / PROD-0599 / PROD-0617,1.BOÎTE 2KG BEURRE SALÉ D’ISIGNY AOP || 27.BOÎTE 2KG BEURRE SALÉ D’ISIGNY AOP || 45.BOÎTE 2KG BEURRE SALÉ D’ISIGNY AOP,32.2 / 32.2 / 31.6,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 105 – LES CARAMELS FONDANTS EN VRAC (page 15)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 141 – LES CARAMELS EN VRAC (page 17)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 159 – LES CARAMELS EN VRAC (page 17)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite bois carree assortiment fondants,CARAMELS D'ISIGNY,PROD-0518 / PROD-0519,BOÎTE BOIS CARRÉE ASSORTIMENT FONDANTS || BOÎTE BOIS CARRÉE ASSORTIMENT FONDANTS,2.85 / 4.25,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 21 – LES BOÎTES BOIS (page 4)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 22 – LES BOÎTES BOIS (page 4)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite bois carree assortiment normandie,CARAMELS D'ISIGNY,PROD-0522 / PROD-0523,BOÎTE BOIS CARRÉE ASSORTIMENT NORMANDIE || BOÎTE BOIS CARRÉE ASSORTIMENT NORMANDIE,2.85 / 4.25,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 26 – LES BOÎTES BOIS (page 4)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 27 – LES BOÎTES BOIS (page 4)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
LIBELLE_IDENTIQUE_MEME_PRODUCTEUR,boite bois carree assortiment tradition,CARAMELS D'ISIGNY,PROD-0514 / PROD-0515,BOÎTE BOIS CARRÉE ASSORTIMENT TRADITION || BOÎTE BOIS CARRÉE ASSORTIMENT TRADITION,2.85 / 4.25,Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 16 – LES BOÎTES BOIS (page 4)) || Tarif et bon de commande 2026 – onglet « CARAMELS ISIGNY 2026 » (ligne 17 – LES BOÎTES BOIS (page 4)),"Même libellé, formats ou décors différents : NE PAS FUSIONNER sans vérification"
