type_emballage,statut
coffret carton,À RENSEIGNER
boîte rigide,À RENSEIGNER
caisse,À RENSEIGNER
panier,À RENSEIGNER
boîte cadeau,À RENSEIGNER
étui,À RENSEIGNER
sachet,À RENSEIGNER
papier de soie,À RENSEIGNER
frisure,À RENSEIGNER
calage,À RENSEIGNER
ruban,À RENSEIGNER
carte,À RENSEIGNER
étiquette,À RENSEIGNER
autocollant,À RENSEIGNER
protection bouteille,À RENSEIGNER
protection verre,À RENSEIGNER
papier bulle / protection adaptée,À RENSEIGNER
séparateur,À RENSEIGNER
intercalaire,À RENSEIGNER
enveloppe,À RENSEIGNER
emballage extérieur d'expédition,À RENSEIGNER
