id_fournisseur,nom,libelles_source,role,canal_de_commande,regroupement_suggere,regroupement_statut,contact_nom,telephone,email,site_internet,adresse,code_postal,ville,region,departement,identifiants_legaux,conditions_paiement,livraison,retrait,minimum_commande,personnalisation,delais,autres_infos,conditions_relevees_dans_le_tarif,source,nombre_de_produits
FOUR-0001,NORMAND DIRECT TERROIR,,DISTRIBUTEUR / GROSSISTE,Commande directe auprès de Normand Direct Terroir,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,À CONFIRMER (domaine de l'e-mail : normand-direct-terroir.fr),À CONFIRMER,À CONFIRMER,À CONFIRMER,Normandie,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER,Aucun minimum global indiqué ; multiples de commande par produit (colonne « Multiple de commande »),NA,1 semaine,"Classeur « Tarif et bon de commande 2026 » ; le document sert à la fois de tarif et de bon de commande ; TVA 5,5 % ou 20 % selon produit",,Tarif et bon de commande 2026 - onglet TARIF NORMAND DIRECT 2026 - zone de texte d'en-tête,0
FOUR-0002,CARAMELS D'ISIGNY,,FABRICANT,"À CONFIRMER : onglet intégré au classeur Normand Direct Terroir, canal de commande non précisé",,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.caramels-isigny.com/,"Rue du 19 Mars 1962, 14230 Isigny-sur-Mer",14230,Isigny sur mer,Normandie,14,Via Normandie Direct,À CONFIRMER,À CONFIRMER,À CONFIRMER,À CONFIRMER (colisage indiqué par article),NA,1 semaine,"Catalogue tarifé avec réf. NC0xxxx, EAN et colisage ; renvois de pages 4 à 21 vers un catalogue papier non fourni. CANAL DE COMMANDE À CONFIRMER : l'onglet est intégré au classeur Normand Direct Terroir, mais le document ne dit pas si la commande passe par Normand Direct ou en direct.",,Tarif et bon de commande 2026 - onglet CARAMELS ISIGNY 2026 | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),155
FOUR-0003,SARL DOMAINE DE BILLY,,PRODUCTEUR (vente directe),Commande directe auprès du producteur,,,OLIVIER VAUVRECY (gérant),+33 (0)2 31 26 28 53,contact@fermedebilly.com,https://www.domaine-de-billy.com/,26 bis rue de l'église saint Ouen,14980,ROTS,Normandie,Calvados (14),SIRET 844 848 614 00013 ; TVA FR 688 448 486 14 ; CNUF 3770020438 ; n° accise FR019003E1430,À CONFIRMER,Le transport n'est pas inclus.,À CONFIRMER,À CONFIRMER,NA,1 jour,Document intitulé « Conditions générales de vente (Produits) » / « Prix de vente à partir de 2026 ». Coordonnées bancaires présentes dans le document source mais volontairement NON reprises dans cette base.,,billy.pdf - pages 1 à 3 | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),41
FOUR-0004,DOMAINE DE BRUCAN,,PRODUCTEUR (vente directe),Commande directe auprès du producteur,,,SYLVAIN LE CORNEC,06 16 30 91 20,domainedebrucan@gmail.com,https://www.vignoblebrucan.fr/,17 ROUTE DU MESNIL AU VAL - LE MANOIR DE BRUCAN,50110,DIGOSVILLE,Normandie,Manche (50),SIRET 95097221600010 ; TVA FR93950972216 ; n° accise FR100000N5537 ; APE 0121Z (culture de la vigne) ; RCS Cherbourg-en-Cotentin ; capital 5 000 €,Virement ; échéance à la date de facture (12/08/2026 sur ce document) ; pas d'escompte pour paiement anticipé ; retard : indemnité = 3 x taux d'intérêt légal + indemnité forfaitaire de 40 € ; clause de réserve de propriété,À CONFIRMER,À CONFIRMER,À CONFIRMER,NA,1 semaine,"Connu uniquement par une FACTURE (n° 2600000025 du 12/08/2026), pas par un tarif : les prix sont ceux facturés à cette date, pas un tarif catalogue. Code client attribué : LERJU. Coordonnées bancaires présentes dans le document source mais volontairement NON reprises dans cette base.",,FACT_2600000025_THE_ART_OF_WINE_ACADEMY.pdf - page 1 | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),4
FOUR-0005,BISCUITERIE DE QUINEVILLE,BISCUITERIE DE QUINEVILLE,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://biscuiterie-quineville.com/,"6 Rue du Port Sinope,",50310,Quinéville,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),32
FOUR-0006,FERME DE LA CHOUQUERIE,FERME DE LA CHOUQUERIE,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://ferme-chouquerie.jimdofree.com/,La chouquerie,50490,Saint Sauveur Village,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),6
FOUR-0007,FERME DE L'ISLE,FERME DE L'ISLE,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,,,SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.fermedelisle.fr/,5261 route de l’isle Moyon,50860,Moyon Villages,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,Panachable en 2x10 par carton,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),4
FOUR-0008,CONFITURES DU PÈRE ROUPSARD,CONFITURES DU PÈRE ROUPSARD,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,PÈRE ROUPSARD,"À CONFIRMER (regroupement proposé, non appliqué)",SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.lepereroupsard.com/,7 Rte du Moulin,50760,Le Vicel,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),14
FOUR-0009,LE PÈRE ROUPSARD,LE PÈRE ROUPSARD,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,PÈRE ROUPSARD,"À CONFIRMER (regroupement proposé, non appliqué)",SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.lepereroupsard.com/,8 Rte du Moulin,50761,Le Vicel,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),9
FOUR-0010,LE PÈRE ROUPSARD DESSERT,LE PÈRE ROUPSARD DESSERT,PRODUCTEUR RÉFÉRENCÉ CHEZ LE DISTRIBUTEUR,Via NORMAND DIRECT TERROIR,PÈRE ROUPSARD,"À CONFIRMER (regroupement proposé, non appliqué)",SYLVAIN LE CORNEC,06 16 30 91 20,contact@normand-direct-terroir.fr,https://www.lepereroupsard.com/,9 Rte du Moulin,50762,Le Vicel,Normandie,Manche (50),Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,Via Normandie Direct,NA,1 semaine,,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 » | Coordonnées complétées par le client (classeur BASE_PRODUITS_FOURNISSEURS_2026.xlsx renvoyé le 01/09/2026),8
