id_option,id_produit,nom,type_option,fournisseur,producteur,prix_achat_ht,tva_taux,prix_vente_ht,remarque,source,ligne_source
OPT-0001,PROD-0307,Coffret 2 x 20cl INCLUS AVEC LES 20 CL SUR DEMANDE,COFFRET_OU_EMBALLAGE,NORMAND DIRECT TERROIR,POM’ POM’,0.0,0.2,À DÉFINIR,Nature exacte à confirmer : coffret garni (produit) ou emballage seul,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 316
OPT-0002,PROD-0391,Pack 6 bouteilles 33 cl,COFFRET_OU_EMBALLAGE,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,0.85,0.2,À DÉFINIR,Nature exacte à confirmer : coffret garni (produit) ou emballage seul,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 400
OPT-0003,PROD-0392,Pack 6 bouteilles 33 cl + 2 verres,COFFRET_OU_EMBALLAGE,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,1.16,0.2,À DÉFINIR,Nature exacte à confirmer : coffret garni (produit) ou emballage seul,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 401
OPT-0004,PROD-0393,Pack 3 bouteilles 75 cl,COFFRET_OU_EMBALLAGE,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,1.06,0.2,À DÉFINIR,Nature exacte à confirmer : coffret garni (produit) ou emballage seul,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 402
OPT-0005,PROD-0394,Pack 1 bouteilles 75 cl + 2 verres,COFFRET_OU_EMBALLAGE,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,1.12,0.2,À DÉFINIR,Nature exacte à confirmer : coffret garni (produit) ou emballage seul,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 403
OPT-0006,PROD-0395,Demi mètre craft logoté composé de 9 bières 33 cl,COFFRET_OU_EMBALLAGE,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,21.35,0.2,À DÉFINIR,Nature exacte à confirmer : coffret garni (produit) ou emballage seul,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 404
OPT-0007,PROD-0396,Pinte 50 cl Brasserie Lalie,OBJET_ET_ART_DE_LA_TABLE,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,2.38,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 405
OPT-0008,PROD-0397,Verre à bière Brasserie Lalie 25 cl,OBJET_ET_ART_DE_LA_TABLE,NORMAND DIRECT TERROIR,BRASSERIE LA LIE,2.1,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 406
OPT-0009,PROD-0417,"Coffret 3 X 20 cl Gin, Vodka et Cold brew,",COFFRET_OU_EMBALLAGE,NORMAND DIRECT TERROIR,DISTILLERIE C'EST NOUS,33.35,0.2,À DÉFINIR,Nature exacte à confirmer : coffret garni (produit) ou emballage seul,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 426
OPT-0010,PROD-0419,Savon Bebe hypoallergenique beurre karité,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,3.5,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 428
OPT-0011,PROD-0420,"Lait démaquillant parfum ""fleur de pommier""",PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,8.5,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 429
OPT-0012,PROD-0421,Savon 100 grs lait,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,2.9,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 430
OPT-0013,PROD-0422,Savon 100 grs amande douce,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,2.9,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 431
OPT-0014,PROD-0423,Savon 100 grs chèvrefeuille,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,2.9,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 432
OPT-0015,PROD-0424,Savon 100 grs miel,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,2.9,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 433
OPT-0016,PROD-0425,Savon 100 grs thé,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,2.9,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 434
OPT-0017,PROD-0426,Savon 100 grs marine,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,2.9,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 435
OPT-0018,PROD-0427,Savon 100 grs rose,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,2.9,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 436
OPT-0019,PROD-0428,Savon 100 grs fleur de pommier,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,2.9,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 437
OPT-0020,PROD-0429,Bain douche 250 ml lait,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,7.7,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 438
OPT-0021,PROD-0430,Bain douche 250 ml amande douce,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,7.7,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 439
OPT-0022,PROD-0431,Bain douche 250 ml thé blanc,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,7.7,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 440
OPT-0023,PROD-0432,Bain douche 250 ml marine,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,7.7,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 441
OPT-0024,PROD-0433,Bain douche 250 ml chèvrefeuille,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,7.7,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 442
OPT-0025,PROD-0434,Bain douche 250 ml avoine,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,7.7,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 443
OPT-0026,PROD-0435,Bain douche 250 ml fleur de pommier,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,7.7,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 444
OPT-0027,PROD-0436,Shampoing 200 ml,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,7.8,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 445
OPT-0028,PROD-0437,Crème hydratante 50 ml,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,11.3,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 446
OPT-0029,PROD-0438,Crème antiride 50 ml,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,12.8,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 447
OPT-0030,PROD-0439,Lait corporel 200 ml,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,13.7,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 448
OPT-0031,PROD-0440,Crème pieds 50 ml,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,8.45,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 449
OPT-0032,PROD-0441,Crème main 50 ml,PRODUIT_NON_ALIMENTAIRE,NORMAND DIRECT TERROIR,LISANE,8.45,0.2,À DÉFINIR,,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 450
