id_produit,nom_produit,id_alternative,nom_alternative,relation_prix,ecart_prix_pct,prix_produit_ht,prix_alternative_ht,meme_sous_categorie,meme_regime_alcool,meme_producteur,meme_region_documentee,ecart_noblesse,critere_de_rapprochement
PROD-0001,Apéro tomate/paprika 100 grs,PROD-0452,Pain D'épices Nature 100gr,PRIX_INFERIEUR,-11.6,2.15,1.9,OUI,OUI,NON,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0001,Apéro tomate/paprika 100 grs,PROD-0002,Pailles feuilletées salées 100 grs,PRIX_SUPERIEUR,14.0,2.15,2.45,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0001,Apéro tomate/paprika 100 grs,PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,PRIX_SUPERIEUR,14.0,2.15,2.45,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0001,Apéro tomate/paprika 100 grs,PROD-0011,Coquilles trio 80 grs mini 50 paquets,PRIX_SUPERIEUR,14.0,2.15,2.45,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0001,Apéro tomate/paprika 100 grs,PROD-0003,Palets Camembert du Cotentin pavot 100 grs,PRIX_SUPERIEUR,16.3,2.15,2.5,OUI,OUI,OUI,NON,1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0002,Pailles feuilletées salées 100 grs,PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,PRIX_EQUIVALENT,0.0,2.45,2.45,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0002,Pailles feuilletées salées 100 grs,PROD-0011,Coquilles trio 80 grs mini 50 paquets,PRIX_EQUIVALENT,0.0,2.45,2.45,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0002,Pailles feuilletées salées 100 grs,PROD-0003,Palets Camembert du Cotentin pavot 100 grs,PRIX_SUPERIEUR,2.0,2.45,2.5,OUI,OUI,OUI,NON,1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0002,Pailles feuilletées salées 100 grs,PROD-0022,Sablé éclats caramel 110 grs mini 50 paquets,PRIX_SUPERIEUR,2.0,2.45,2.5,OUI,OUI,OUI,OUI,1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0002,Pailles feuilletées salées 100 grs,PROD-0001,Apéro tomate/paprika 100 grs,PRIX_INFERIEUR,-12.2,2.45,2.15,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0003,Palets Camembert du Cotentin pavot 100 grs,PROD-0022,Sablé éclats caramel 110 grs mini 50 paquets,PRIX_EQUIVALENT,0.0,2.5,2.5,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0003,Palets Camembert du Cotentin pavot 100 grs,PROD-0002,Pailles feuilletées salées 100 grs,PRIX_EQUIVALENT,-2.0,2.5,2.45,OUI,OUI,OUI,NON,-1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0003,Palets Camembert du Cotentin pavot 100 grs,PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,PRIX_EQUIVALENT,-2.0,2.5,2.45,OUI,OUI,OUI,NON,-1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0003,Palets Camembert du Cotentin pavot 100 grs,PROD-0011,Coquilles trio 80 grs mini 50 paquets,PRIX_EQUIVALENT,-2.0,2.5,2.45,OUI,OUI,OUI,NON,-1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0003,Palets Camembert du Cotentin pavot 100 grs,PROD-0001,Apéro tomate/paprika 100 grs,PRIX_INFERIEUR,-14.0,2.5,2.15,OUI,OUI,OUI,NON,-1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0004,Biscuits assortiment 250 grs,PROD-0027,Tuiles chocolat noir 150gr,PRIX_SUPERIEUR,11.9,5.9,6.6,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0004,Biscuits assortiment 250 grs,PROD-0028,Tuiles chocolat lacté 150gr,PRIX_SUPERIEUR,11.9,5.9,6.6,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0004,Biscuits assortiment 250 grs,PROD-0018,Financiers boite 250 grs,PRIX_INFERIEUR,-16.9,5.9,4.9,OUI,OUI,OUI,OUI,-1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0004,Biscuits assortiment 250 grs,PROD-0031,Batonnet feuilleté noir 200 grs,PRIX_SUPERIEUR,17.8,5.9,6.95,OUI,OUI,OUI,OUI,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0004,Biscuits assortiment 250 grs,PROD-0013,Croquenoisette chocolat 180 grs,PRIX_INFERIEUR,-22.9,5.9,4.55,OUI,OUI,OUI,OUI,-1,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0005,Boutons de la Manche 250 grs moins de 12,PROD-0007,Cookies pépite de chocolat 220 grs,PRIX_EQUIVALENT,0.0,3.6,3.6,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0005,Boutons de la Manche 250 grs moins de 12,PROD-0021,Sablé éclats de caramel 180 grs,PRIX_EQUIVALENT,-1.1,3.6,3.56,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0005,Boutons de la Manche 250 grs moins de 12,PROD-0024,Sablés Mamie 220 grs,PRIX_EQUIVALENT,1.4,3.6,3.65,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0005,Boutons de la Manche 250 grs moins de 12,PROD-0015,Croquentin 220 grs,PRIX_INFERIEUR,-2.8,3.6,3.5,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0005,Boutons de la Manche 250 grs moins de 12,PROD-0014,Croquenoisettes 180 grs,PRIX_SUPERIEUR,3.6,3.6,3.73,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0006,Boutons de la Manche 250 grs/ carton de 12,PROD-0019,Pailles feuilletées au sucre 150 grs,PRIX_EQUIVALENT,0.0,3.45,3.45,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0006,Boutons de la Manche 250 grs/ carton de 12,PROD-0015,Croquentin 220 grs,PRIX_EQUIVALENT,1.4,3.45,3.5,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
PROD-0006,Boutons de la Manche 250 grs/ carton de 12,PROD-0021,Sablé éclats de caramel 180 grs,PRIX_SUPERIEUR,3.2,3.45,3.56,OUI,OUI,OUI,NON,0,même sous-catégorie + même régime alcool + écart de prix ≤ 40 %
