id_produit,nom_produit,tag,origine_du_tag,statut
PROD-0001,Apéro tomate/paprika 100 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0002,Pailles feuilletées salées 100 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0003,Palets Camembert du Cotentin pavot 100 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0004,Biscuits assortiment 250 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0005,Boutons de la Manche 250 grs moins de 12,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0006,Boutons de la Manche 250 grs/ carton de 12,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0007,Cookies pépite de chocolat 220 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0008,Coquilles Quinéville 165 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0010,Coquilles de Quinéville trio 165 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0011,Coquilles trio 80 grs mini 50 paquets,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0012,Croquant aux amandes 125 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0013,Croquenoisette chocolat 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0014,Croquenoisettes 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0015,Croquentin 220 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0016,Croquet Calvados 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0017,Financier sachet 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0018,Financiers boite 250 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0019,Pailles feuilletées au sucre 150 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0021,Sablé éclats de caramel 180 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0022,Sablé éclats caramel 110 grs mini 50 paquets,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0023,Sablé spéculos 250 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0024,Sablés Mamie 220 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0025,Tuiles pâtissières 150 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0026,Sablette mendiante chocolat 130 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0027,Tuiles chocolat noir 150gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0028,Tuiles chocolat lacté 150gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0029,Tuiles chocolat noir et lacté 200gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0030,Pâte de pommes 300 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0031,Batonnet feuilleté noir 200 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0032,Grignotines amandes noisettes 200 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0033,Teurgoule nature 280 g,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0036,Teurgoule cannelle 280 g,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0039,Confiture de lait nature 250 g,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0040,Confiture de lait éclats de pralin 250 g,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0041,Confiture de lait chocolat 250 g / 20 P,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0042,Confiture de lait fleur sel Guérande 250 g / 20 P,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0043,Confiture figue 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0044,Confiture orange 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0045,Confiture framboise 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0046,Confiture mure 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0047,Confiture fraise 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0048,Confiture abricot 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0049,Confiture de rhubarbe 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0050,Confiture de Myrtilles 280 grs NOUVEAU,NOUVEAUTE,Calculé à partir des données documentées,À VALIDER
PROD-0050,Confiture de Myrtilles 280 grs NOUVEAU,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0051,Confiture de Fraise Ananas 280 grs NOUVEAU,NOUVEAUTE,Calculé à partir des données documentées,À VALIDER
PROD-0051,Confiture de Fraise Ananas 280 grs NOUVEAU,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0052,Confiture pomme au cidre 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0053,Confiture pomme caramel 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0054,Confiture pomme rhubarbe 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0055,Confiture fraise rhubarbe 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0056,Confiture fruits rouges 280 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0057,Confit de cidre 100 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0058,Confit de poiré 100 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0059,Moutarde pommeau 100 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0060,Moutarde Calvados 100 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0061,Moutarde pomme 100 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0062,Moutarde framboise 100 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0063,Confit d'oignons 100 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0064,Chutney de figue 100 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0065,Chutney de pomme 100 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0066,Riz au lait de Normandie 180 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0067,Riz au lait de Normandie Eclats caramel d'Isigny 180 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0068,Riz au lait de Normandie 120 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0069,Riz au lait de Normandie Eclats caramel d'Isigny 120 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0070,Crème aux œufs à la crème d'Isigny 180 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0071,Crème aux œufs aux éclats de caramel d'Isigny 180 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0072,Crème aux œufs à la crème d'Isigny 120 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0073,Crème aux œufs aux éclats de caramel d'Isigny 120 gr,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0074,Boudin campagnard aux pomme 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
PROD-0075,Terrine de faisan au Calvados 90 grs,FAIBLE_COUT_LOGISTIQUE,Calculé à partir des données documentées,À VALIDER
