id_produit,nom_produit,score_noblesse,score_valeur_percue,score_local,score_noel,score_logistique,score_personnalisation,score_qualite,score_marge,score_upsell,score_marge_commentaire,score_qualite_commentaire,statut,base_de_calcul
PROD-0001,Apéro tomate/paprika 100 grs,1,1,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.15 € HT) → 1
PROD-0002,Pailles feuilletées salées 100 grs,1,1,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.45 € HT) → 1
PROD-0003,Palets Camembert du Cotentin pavot 100 grs,2,2,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.50 € HT) → 2
PROD-0004,Biscuits assortiment 250 grs,3,3,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (5.90 € HT) → 3
PROD-0005,Boutons de la Manche 250 grs moins de 12,2,2,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.60 € HT) → 2
PROD-0006,Boutons de la Manche 250 grs/ carton de 12,2,2,3,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.45 € HT) → 2
PROD-0007,Cookies pépite de chocolat 220 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.60 € HT) → 2
PROD-0008,Coquilles Quinéville 165 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (4.37 € HT) → 2
PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,1,1,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.45 € HT) → 1
PROD-0010,Coquilles de Quinéville trio 165 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (4.37 € HT) → 2
PROD-0011,Coquilles trio 80 grs mini 50 paquets,1,1,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (2.45 € HT) → 1
PROD-0012,Croquant aux amandes 125 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (4.30 € HT) → 2
PROD-0013,Croquenoisette chocolat 180 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (4.55 € HT) → 2
PROD-0014,Croquenoisettes 180 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.73 € HT) → 2
PROD-0015,Croquentin 220 grs,2,2,,,5,,,,,NON CALCULABLE (donnée absente des documents) : aucun prix de vente n'existe encore,NON CALCULABLE (donnée absente des documents) : à saisir en back-office,PROPOSITION AUTOMATIQUE – À VALIDER EN BACK-OFFICE,palier de prix d'achat (3.50 € HT) → 2
