categorie,sous_categorie,nombre_de_produits
CONFISERIE,CARAMEL,81
TRAITEUR_MER,PRODUIT_DE_LA_MER,56
TRAITEUR_CHARCUTERIE,CHARCUTERIE_ET_TERRINE,53
CONFISERIE,CARAMEL_VRAC,50
BISCUITERIE,BISCUIT,46
BOISSON_SANS_ALCOOL,THE_ET_INFUSION,45
BOISSON_ALCOOLISEE,SPIRITUEUX_POMME,40
BOISSON_ALCOOLISEE,CIDRE,31
COSMETIQUE_BIEN_ETRE,SOIN,23
TRAITEUR_MER,SOUPE_ET_BISQUE,23
INGREDIENT_PROFESSIONNEL,PAI,22
BOISSON_SANS_ALCOOL,JUS_DE_FRUIT,21
CONFISERIE,BONBON_ET_CONFISERIE,21
EPICERIE_SALEE,CONDIMENT,21
EPICERIE_SUCREE,CONFITURE_ET_CONFIT,20
BOISSON_ALCOOLISEE,BIERE,18
BOISSON_ALCOOLISEE,SPIRITUEUX,13
EPICERIE_SUCREE,CARAMEL_A_TARTINER,12
TRAITEUR_SUCRE,DESSERT,12
BOISSON_ALCOOLISEE,VIN,10
COFFRET_ET_EMBALLAGE,COFFRET_OU_PACK,10
EPICERIE_SUCREE,MIEL,10
TRAITEUR_PLATS,PLAT_CUISINE,10
BOISSON_ALCOOLISEE,LIQUEUR,9
BOISSON_ALCOOLISEE,POMMEAU,8
BOISSON_ALCOOLISEE,COCKTAIL_PRET_A_BOIRE,6
TRAITEUR_CHARCUTERIE,FOIE_GRAS,6
EPICERIE_SALEE,VINAIGRE,5
BOISSON_SANS_ALCOOL,CAFE,4
EPICERIE_SUCREE,CONFITURE_DE_LAIT,4
EPICERIE_SUCREE,PATE_A_TARTINER,4
ART_DE_LA_TABLE_ET_OBJET,OBJET_ET_CONTENANT,3
BOISSON_ALCOOLISEE,CIDRE_DE_GLACE,3
BOISSON_ALCOOLISEE,HYDROMEL,1
BOISSON_ALCOOLISEE,POIRE,1
