id_tarif,id_produit,nom_produit,id_fournisseur,fournisseur,prix_achat_ht,unite_de_prix,prix_au_kg_ht,prix_hors_droits_ht,droits_accises,tva_taux,prix_achat_ttc,texte_exact_du_document,libelle_colonne_prix_source,validite,type_de_document,source,ligne_source
TAR-0001,PROD-0001,Apéro tomate/paprika 100 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.15,unité,,,,0.055,2.2682,2.15,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 10
TAR-0002,PROD-0002,Pailles feuilletées salées 100 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.45,unité,,,,0.055,2.5848,2.45,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 11
TAR-0003,PROD-0003,Palets Camembert du Cotentin pavot 100 grs,FOUR-0001,NORMAND DIRECT TERROIR,2.5,unité,,,,0.055,2.6375,2.5,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 12
TAR-0004,PROD-0004,Biscuits assortiment 250 grs,FOUR-0001,NORMAND DIRECT TERROIR,5.9,unité,,,,0.055,6.2245,5.9,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 13
TAR-0005,PROD-0005,Boutons de la Manche 250 grs moins de 12,FOUR-0001,NORMAND DIRECT TERROIR,3.6,unité,,,,0.055,3.798,3.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 14
TAR-0006,PROD-0006,Boutons de la Manche 250 grs/ carton de 12,FOUR-0001,NORMAND DIRECT TERROIR,3.45,unité,,,,0.055,3.6397,3.45,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 15
TAR-0007,PROD-0007,Cookies pépite de chocolat 220 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.6,unité,,,,0.055,3.798,3.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 16
TAR-0008,PROD-0008,Coquilles Quinéville 165 grs,FOUR-0001,NORMAND DIRECT TERROIR,4.37,unité,,,,0.055,4.6103,4.37,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 17
TAR-0009,PROD-0009,Coquilles Quinéville 80 grs mini 50 paquets,FOUR-0001,NORMAND DIRECT TERROIR,2.45,unité,,,,0.055,2.5848,2.45,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 18
TAR-0010,PROD-0010,Coquilles de Quinéville trio 165 grs,FOUR-0001,NORMAND DIRECT TERROIR,4.37,unité,,,,0.055,4.6103,4.37,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 19
TAR-0011,PROD-0011,Coquilles trio 80 grs mini 50 paquets,FOUR-0001,NORMAND DIRECT TERROIR,2.45,unité,,,,0.055,2.5848,2.45,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 20
TAR-0012,PROD-0012,Croquant aux amandes 125 grs,FOUR-0001,NORMAND DIRECT TERROIR,4.3,unité,,,,0.055,4.5365,4.3,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 21
TAR-0013,PROD-0013,Croquenoisette chocolat 180 grs,FOUR-0001,NORMAND DIRECT TERROIR,4.55,unité,,,,0.055,4.8002,4.55,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 22
TAR-0014,PROD-0014,Croquenoisettes 180 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.73,unité,,,,0.055,3.9351,3.73,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 23
TAR-0015,PROD-0015,Croquentin 220 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.5,unité,,,,0.055,3.6925,3.5,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 24
TAR-0016,PROD-0016,Croquet Calvados 180 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.55,unité,,,,0.055,3.7452,3.55,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 25
TAR-0017,PROD-0017,Financier sachet 180 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.25,unité,,,,0.055,3.4287,3.25,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 26
TAR-0018,PROD-0018,Financiers boite 250 grs,FOUR-0001,NORMAND DIRECT TERROIR,4.9,unité,,,,0.055,5.1695,4.9,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 27
TAR-0019,PROD-0019,Pailles feuilletées au sucre 150 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.45,unité,,,,0.055,3.6397,3.45,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 28
TAR-0020,PROD-0020,Sablé chocolat enrobage chocolat lait 180 grs,FOUR-0001,NORMAND DIRECT TERROIR,4.5,unité,,,,0.055,4.7475,4.5,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 29
TAR-0021,PROD-0021,Sablé éclats de caramel 180 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.56,unité,,,,0.055,3.7558,3.56,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 30
TAR-0022,PROD-0022,Sablé éclats caramel 110 grs mini 50 paquets,FOUR-0001,NORMAND DIRECT TERROIR,2.5,unité,,,,0.055,2.6375,2.5,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 31
TAR-0023,PROD-0023,Sablé spéculos 250 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.95,unité,,,,0.055,4.1673,3.95,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 32
TAR-0024,PROD-0024,Sablés Mamie 220 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.65,unité,,,,0.055,3.8507,3.65,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 33
TAR-0025,PROD-0025,Tuiles pâtissières 150 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.85,unité,,,,0.055,4.0617,3.85,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 34
TAR-0026,PROD-0026,Sablette mendiante chocolat 130 grs,FOUR-0001,NORMAND DIRECT TERROIR,3.0,unité,,,,0.055,3.165,3,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 35
TAR-0027,PROD-0027,Tuiles chocolat noir 150gr,FOUR-0001,NORMAND DIRECT TERROIR,6.6,unité,,,,0.055,6.963,6.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 36
TAR-0028,PROD-0028,Tuiles chocolat lacté 150gr,FOUR-0001,NORMAND DIRECT TERROIR,6.6,unité,,,,0.2,7.92,6.6,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 37
TAR-0029,PROD-0029,Tuiles chocolat noir et lacté 200gr,FOUR-0001,NORMAND DIRECT TERROIR,8.3,unité,,,,0.2,9.96,8.3,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 38
TAR-0030,PROD-0030,Pâte de pommes 300 grs,FOUR-0001,NORMAND DIRECT TERROIR,4.8,unité,,,,0.2,5.76,4.8,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 39
TAR-0031,PROD-0031,Batonnet feuilleté noir 200 grs,FOUR-0001,NORMAND DIRECT TERROIR,6.95,unité,,,,0.055,7.3323,6.95,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 40
TAR-0032,PROD-0032,Grignotines amandes noisettes 200 grs,FOUR-0001,NORMAND DIRECT TERROIR,7.4,unité,,,,0.055,7.807,7.4,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 41
TAR-0033,PROD-0033,Teurgoule nature 280 g,FOUR-0001,NORMAND DIRECT TERROIR,3.82,unité,,,,0.055,4.0301,3.82,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 42
TAR-0034,PROD-0034,Teurgoule nature 500 g,FOUR-0001,NORMAND DIRECT TERROIR,6.34,unité,,,,0.055,6.6887,6.34,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 43
TAR-0035,PROD-0035,Teurgoule nature 740 g,FOUR-0001,NORMAND DIRECT TERROIR,8.5,unité,,,,0.055,8.9675,8.5,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 44
TAR-0036,PROD-0036,Teurgoule cannelle 280 g,FOUR-0001,NORMAND DIRECT TERROIR,3.82,unité,,,,0.055,4.0301,3.82,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 45
TAR-0037,PROD-0037,Teurgoule cannelle 500 g,FOUR-0001,NORMAND DIRECT TERROIR,6.34,unité,,,,0.055,6.6887,6.34,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 46
TAR-0038,PROD-0038,Teurgoule cannelle 740 g,FOUR-0001,NORMAND DIRECT TERROIR,8.5,unité,,,,0.055,8.9675,8.5,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 47
TAR-0039,PROD-0039,Confiture de lait nature 250 g,FOUR-0001,NORMAND DIRECT TERROIR,3.05,unité,,,,0.055,3.2177,3.05,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 48
TAR-0040,PROD-0040,Confiture de lait éclats de pralin 250 g,FOUR-0001,NORMAND DIRECT TERROIR,3.42,unité,,,,0.055,3.6081,3.42,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 49
TAR-0041,PROD-0041,Confiture de lait chocolat 250 g / 20 P,FOUR-0001,NORMAND DIRECT TERROIR,3.42,unité,,,,0.055,3.6081,3.42,PU HT,Tarif 2026,TARIF FOURNISSEUR,Tarif et bon de commande 2026 – onglet « TARIF NORMAND DIRECT 2026 »,ligne 50
