ligne_source,fournisseur_colonne_A,dlc_ddm,produit,pu_ht,multiple_de_commande,tva,note_fournisseur
10,BISCUITERIE DE QUINEVILLE,2 MOIS,Apéro tomate/paprika 100 grs,2.15,/6,0.055,
11,BISCUITERIE DE QUINEVILLE,2 MOIS,Pailles feuilletées salées 100 grs,2.45,/6,0.055,
12,BISCUITERIE DE QUINEVILLE,2 MOIS,Palets Camembert du Cotentin pavot 100 grs,2.5,/6,0.055,
13,BISCUITERIE DE QUINEVILLE,3 MOIS,Biscuits assortiment 250 grs,5.9,6/,0.055,
14,BISCUITERIE DE QUINEVILLE,4 MOIS,Boutons de la Manche 250 grs moins de 12,3.6,6/,0.055,
15,BISCUITERIE DE QUINEVILLE,4 MOIS,Boutons de la Manche 250 grs/ carton de 12,3.45,12/,0.055,
16,BISCUITERIE DE QUINEVILLE,3 MOIS,Cookies pépite de chocolat 220 grs,3.6,6/,0.055,
17,BISCUITERIE DE QUINEVILLE,4 MOIS,Coquilles Quinéville 165 grs,4.37,6/,0.055,
18,BISCUITERIE DE QUINEVILLE,4 MOIS,Coquilles Quinéville 80 grs mini 50 paquets,2.45,50/,0.055,
19,BISCUITERIE DE QUINEVILLE,4 MOIS,Coquilles de Quinéville trio 165 grs,4.37,6/,0.055,
20,BISCUITERIE DE QUINEVILLE,4 MOIS,Coquilles trio 80 grs mini 50 paquets,2.45,50/,0.055,
21,BISCUITERIE DE QUINEVILLE,4 MOIS,Croquant aux amandes 125 grs,4.3,6/,0.055,
22,BISCUITERIE DE QUINEVILLE,3 MOIS,Croquenoisette chocolat 180 grs,4.55,6/,0.055,
23,BISCUITERIE DE QUINEVILLE,3 MOIS,Croquenoisettes 180 grs,3.73,6/,0.055,
24,BISCUITERIE DE QUINEVILLE,4 MOIS,Croquentin 220 grs,3.5,6/,0.055,
25,BISCUITERIE DE QUINEVILLE,3 MOIS,Croquet Calvados 180 grs,3.55,6/,0.055,
26,BISCUITERIE DE QUINEVILLE,1 MOIS,Financier sachet 180 grs,3.25,6/,0.055,
27,BISCUITERIE DE QUINEVILLE,1 MOIS,Financiers boite 250 grs,4.9,6/,0.055,
28,BISCUITERIE DE QUINEVILLE,2 MOIS,Pailles feuilletées au sucre 150 grs,3.45,6/,0.055,
29,BISCUITERIE DE QUINEVILLE,4 MOIS,Sablé chocolat enrobage chocolat lait 180 grs,4.5,6/,0.055,
30,BISCUITERIE DE QUINEVILLE,4 MOIS,Sablé éclats de caramel 180 grs,3.56,6/,0.055,
31,BISCUITERIE DE QUINEVILLE,4 MOIS,Sablé éclats caramel 110 grs mini 50 paquets,2.5,50/,0.055,
32,BISCUITERIE DE QUINEVILLE,4 MOIS,Sablé spéculos 250 grs,3.95,6/,0.055,
33,BISCUITERIE DE QUINEVILLE,3 MOIS,Sablés Mamie 220 grs,3.65,6/,0.055,
34,BISCUITERIE DE QUINEVILLE,4 MOIS,Tuiles pâtissières 150 grs,3.85,6/,0.055,
35,BISCUITERIE DE QUINEVILLE,4 MOIS,Sablette mendiante chocolat 130 grs,3,6/,0.055,
36,BISCUITERIE DE QUINEVILLE,6 MOIS,Tuiles chocolat noir 150gr,6.6,6/,0.055,
