ligne_source,gamme,sous_gamme,article,reference,poids,prix_ht_colonne_G,libelle_colonne_G,tva,ean,colisage,prix_colonne_K,libelle_colonne_K
4,LES BOÎTES BOIS (page 4),BEURRE SALÉ,BOÎTE BOIS RONDE BEURRE SALÉ,NC01805,75G,2.85,Prix unitaire HT,0.2,3498751018059,20,,COLISAGE
5,LES BOÎTES BOIS (page 4),BEURRE SALÉ,BOÎTE BOIS RONDE BEURRE SALÉ,NC01955,150G,4.25,Prix unitaire HT,0.2,3498751019551,12,,COLISAGE
6,LES BOÎTES BOIS (page 4),BEURRE SALÉ,BOÎTE BOIS CARRÉE BEURRE SALÉ,NC01815,75G,2.85,Prix unitaire HT,0.2,3498751018158,24,,COLISAGE
7,LES BOÎTES BOIS (page 4),BEURRE SALÉ,BOÎTE BOIS CARRÉE BEURRE SALÉ,NC01865,150G,4.25,Prix unitaire HT,0.2,3498751018653,12,,COLISAGE
9,LES BOÎTES BOIS (page 4),FONDANT BEURRE SALÉ,BOÎTE BOIS RONDE FONDANT BEURRE SALÉ,NC01810,75G,2.85,Prix unitaire HT,0.2,3498751018103,20,,COLISAGE
10,LES BOÎTES BOIS (page 4),FONDANT BEURRE SALÉ,BOÎTE BOIS RONDE FONDANT BEURRE SALÉ,NC01950,150G,4.25,Prix unitaire HT,0.2,3498751019506,12,,COLISAGE
11,LES BOÎTES BOIS (page 4),FONDANT BEURRE SALÉ,BOÎTE BOIS CARRÉE FONDANT BEURRE SALÉ,NC01830,75G,2.85,Prix unitaire HT,0.2,3498751018301,24,,COLISAGE
12,LES BOÎTES BOIS (page 4),FONDANT BEURRE SALÉ,BOÎTE BOIS CARRÉE FONDANT BEURRE SALÉ,NC01860,150G,4.25,Prix unitaire HT,0.2,3498751018608,12,,COLISAGE
14,LES BOÎTES BOIS (page 4),ASSORTIMENT TRADITION,BOÎTE BOIS RONDE ASSORTIMENT TRADITION,NC01808,75G,2.85,Prix unitaire HT,0.2,3498751018080,20,,COLISAGE
15,LES BOÎTES BOIS (page 4),ASSORTIMENT TRADITION,BOÎTE BOIS RONDE ASSORTIMENT TRADITION,NC01958,150G,4.25,Prix unitaire HT,0.2,3498751019582,12,,COLISAGE
16,LES BOÎTES BOIS (page 4),ASSORTIMENT TRADITION,BOÎTE BOIS CARRÉE ASSORTIMENT TRADITION,NC01818,75G,2.85,Prix unitaire HT,0.2,3498751018189,24,,COLISAGE
17,LES BOÎTES BOIS (page 4),ASSORTIMENT TRADITION,BOÎTE BOIS CARRÉE ASSORTIMENT TRADITION,NC01868,150G,4.25,Prix unitaire HT,0.2,3498751018684,12,,COLISAGE
19,LES BOÎTES BOIS (page 4),ASSORTIMENT FONDANTS,BOÎTE BOIS RONDE ASSORTIMENT FONDANTS,NC01807,75G,2.85,Prix unitaire HT,0.2,3498751018073,20,,COLISAGE
20,LES BOÎTES BOIS (page 4),ASSORTIMENT FONDANTS,BOÎTE BOIS RONDE ASSORTIMENT FONDANTS,NC01957,150G,4.25,Prix unitaire HT,0.2,3498751019575,12,,COLISAGE
21,LES BOÎTES BOIS (page 4),ASSORTIMENT FONDANTS,BOÎTE BOIS CARRÉE ASSORTIMENT FONDANTS,NC01817,75G,2.85,Prix unitaire HT,0.2,3498751018172,24,,COLISAGE
22,LES BOÎTES BOIS (page 4),ASSORTIMENT FONDANTS,BOÎTE BOIS CARRÉE ASSORTIMENT FONDANTS,NC01867,150G,4.25,Prix unitaire HT,0.2,3498751018677,12,,COLISAGE
24,LES BOÎTES BOIS (page 4),ASSORTIMENT NORMANDIE,BOÎTE BOIS RONDE ASSORTIMENT NORMANDIE,NC01806,75G,2.85,Prix unitaire HT,0.2,3498751018066,20,,COLISAGE
25,LES BOÎTES BOIS (page 4),ASSORTIMENT NORMANDIE,BOÎTE BOIS RONDE ASSORTIMENT NORMANDIE,NC01951,150G,4.25,Prix unitaire HT,0.2,3498751019513,12,,COLISAGE
26,LES BOÎTES BOIS (page 4),ASSORTIMENT NORMANDIE,BOÎTE BOIS CARRÉE ASSORTIMENT NORMANDIE,NC01816,75G,2.85,Prix unitaire HT,0.2,3498751018165,24,,COLISAGE
