page_source,section,article,mention,degre_ou_vat,volume,description,prix_ht,prix_hors_droits,droits,prix_droits_inclus,libelle_colonne_prix_source
1,CIDRES,Cidre Corsé,,"5,5%",75cl,Notre brut avec ses notes d’amertume,"3,36 euros H.T.",,,,Prix de vente
1,CIDRES,Cidre Fruité,,4%,75cl,Un demi-sec très rond alliant sucrosité et amertume avec délicatesse,"3,36 euros H.T.",,,,Prix de vente
1,CIDRES,Cidre Fraîcheur,,4%,75cl,Léger vif et acidulé ! Parfait pour l’apéritif et les fruits de mers,"3,65 euros H.T.",,,,Prix de vente
1,CIDRES,Cidre Tonique,,3%,75cl,Original citronné et très vif. Une belle surprise !,"4,50 euros H.T.",,,,Prix de vente
1,CIDRES,Cidre Sauvage,,5 à 7%,75cl,Sec et extra brut + tonneau,"4,40 euros H.T.",,,,Prix de vente
1,CIDRES,Terroir Chic,,"5,5%",33cl,Notre brut avec ses notes d’amertume,"1,71 euros H.T.",,,,Prix de vente
1,CIDRES,Cidre Fruité,NOUVEAU,4%,33cl,Un demi-sec très rond alliant sucrosité et amertume avec délicatesse,"1,75 euros H.T.",,,,Prix de vente
1,CIDRES,Cidre Fraîcheur,,4%,33cl,Léger vif et acidulé ! Parfait pour l’apéritif,"1,75 euros H.T.",,,,Prix de vente
1,CIDRES,Cidre Tonique,,3%,33cl,Original citronné et très vif. Une belle surprise !,"1,75 euros H.T.",,,,Prix de vente
1,CIDRES,Fût Corsé,,"5,5%",20 L,Notre brut avec ses notes d’amertume (existe en 30 litres),79 euros H.T.,,,,Prix de vente
1,CIDRES,Fût Fraicheur,NOUVEAU,4%,20 L,Léger vif et acidulé ! Parfait pour l’apéritif et les fruits de mers,85 euros H.T.,,,,Prix de vente
1,POIRE,Poiré,,"3,5%",75 cl,Poiré,"4,45 euros H.T.",,,,Prix de vente
1,VINAIGRE,Vinaigre de Cidre,,5° d’acide acétique,50cl,Vinaigre non filtré,"2,30 euros H.T.",,,,Prix de vente
2,JUS DE POMME,Jus de pomme,,,1 L,Jus pomme nature,"2,75 euros HT",,,,Prix de vente
